ID;benchmarkPhase;streamNumber;queryNumber;epochStartTimestamp;epochEndTimestamp;humanReadableStartTime;humanReadableEndTime;durationInMilliseconds;durationInSeconds;humanReadableDuration;queryType;successful;
1;BENCHMARK;;;1631185455130;1631191963766;2021-09-09 16:34:15.130;2021-09-09 18:22:43.766;6508636;6508.636;1h:48m:28s:636ms;;false;
2;CLEAN_ALL;;;1631181763775;1631181770016;2021-09-09 15:32:43.775;2021-09-09 15:32:50.016;6241;6.241;0h:00m:06s:241ms;;false;
3;ENGINE_VALIDATION_DATA_GENERATION;;;1631181770018;1631181903868;2021-09-09 15:32:50.018;2021-09-09 15:35:03.868;133850;133.850;0h:02m:13s:850ms;;true;
4;ENGINE_VALIDATION_LOAD_TEST;;;1631181903886;1631182401590;2021-09-09 15:35:03.886;2021-09-09 15:43:21.590;497704;497.704;0h:08m:17s:704ms;;true;
5;ENGINE_VALIDATION_POWER_TEST;;;1631182401593;1631185338310;2021-09-09 15:43:21.593;2021-09-09 16:32:18.310;2936717;2936.717;0h:48m:56s:717ms;;false;
6;ENGINE_VALIDATION_POWER_TEST;0;;1631182401599;1631185338308;2021-09-09 15:43:21.599;2021-09-09 16:32:18.308;2936709;2936.709;0h:48m:56s:709ms;;false;
7;ENGINE_VALIDATION_POWER_TEST;0;1;1631182401600;1631182521560;2021-09-09 15:43:21.600;2021-09-09 15:45:21.560;119960;119.960;0h:01m:59s:960ms;structured;true;
8;ENGINE_VALIDATION_POWER_TEST;0;2;1631182521562;1631182594069;2021-09-09 15:45:21.562;2021-09-09 15:46:34.069;72507;72.507;0h:01m:12s:507ms;semi-structured;false;
9;ENGINE_VALIDATION_POWER_TEST;0;3;1631182594070;1631182663053;2021-09-09 15:46:34.070;2021-09-09 15:47:43.053;68983;68.983;0h:01m:08s:983ms;semi-structured;false;
10;ENGINE_VALIDATION_POWER_TEST;0;4;1631182663054;1631182684592;2021-09-09 15:47:43.054;2021-09-09 15:48:04.592;21538;21.538;0h:00m:21s:538ms;semi-structured;false;
11;ENGINE_VALIDATION_POWER_TEST;0;5;1631182684593;1631182728547;2021-09-09 15:48:04.593;2021-09-09 15:48:48.547;43954;43.954;0h:00m:43s:954ms;semi-structured;false;
12;ENGINE_VALIDATION_POWER_TEST;0;6;1631182728548;1631182874896;2021-09-09 15:48:48.548;2021-09-09 15:51:14.896;146348;146.348;0h:02m:26s:348ms;structured;true;
13;ENGINE_VALIDATION_POWER_TEST;0;7;1631182874897;1631183064638;2021-09-09 15:51:14.897;2021-09-09 15:54:24.638;189741;189.741;0h:03m:09s:741ms;structured;true;
14;ENGINE_VALIDATION_POWER_TEST;0;8;1631183064639;1631183153621;2021-09-09 15:54:24.639;2021-09-09 15:55:53.621;88982;88.982;0h:01m:28s:982ms;semi-structured;false;
