STARTDATE_EPOCH|STOPDATE_EPOCH|DURATION_MS|STARTDATE|STOPDATE|DURATION|QUERY|SCALE_FACTOR|BENCHMARK_PHASE|STREAM|SUCCESSFUL|EXIT_CODE|HAS_RESULT|HDFS_SIZE
1630673604|1630673739|135000|2021/09/03:18:23:24|2021/09/03:18:25:39|0h 2m 15s|dataGen_base|1|run_query|0|FAILED|1||
1630673739|1630673792|53000|2021/09/03:18:25:39|2021/09/03:18:26:32|0h 0m 53s|dataGen_refresh|run_query|0|SUCCESS|0
1630673795|1630673803|8000|2021/09/03:18:26:35|2021/09/03:18:26:43|0h 0m 8s|Load data|1|Load data|0|FAILED|64||
1630680935|1630681063|128000|2021/09/03:20:25:35|2021/09/03:20:27:43|0h 2m 8s|dataGen_base|1|run_query|0|SUCCESS|0||
1630681063|1630681107|44000|2021/09/03:20:27:43|2021/09/03:20:28:27|0h 0m 44s|dataGen_refresh|run_query|0|SUCCESS|0
1630681111|1630681120|9000|2021/09/03:20:28:31|2021/09/03:20:28:40|0h 0m 9s|Load data|1|Load data|0|FAILED|64||
1630742353|1630742394|41000|2021/09/04:13:29:13|2021/09/04:13:29:54|0h 0m 41s|dataGen_base|1|run_query|0|SUCCESS|0||
1630742395|1630742417|22000|2021/09/04:13:29:55|2021/09/04:13:30:17|0h 0m 22s|dataGen_refresh|run_query|0|SUCCESS|0
1630742420|1630742428|8000|2021/09/04:13:30:20|2021/09/04:13:30:28|0h 0m 8s|Load data|1|Load data|0|FAILED|64||
1630756545|1630756586|41000|2021/09/04:17:25:45|2021/09/04:17:26:26|0h 0m 41s|dataGen_base|1|run_query|0|SUCCESS|0||
1630756586|1630756613|27000|2021/09/04:17:26:26|2021/09/04:17:26:53|0h 0m 27s|dataGen_refresh|run_query|0|SUCCESS|0
1630756617|1630756626|9000|2021/09/04:17:26:57|2021/09/04:17:27:06|0h 0m 9s|Load data|1|Load data|0|FAILED|64||
1630759672|1630759710|38000|2021/09/04:18:17:52|2021/09/04:18:18:30|0h 0m 38s|dataGen_base|1|run_query|0|SUCCESS|0||
1630759710|1630759734|24000|2021/09/04:18:18:30|2021/09/04:18:18:54|0h 0m 24s|dataGen_refresh|run_query|0|SUCCESS|0
1630759736|1630759745|9000|2021/09/04:18:18:56|2021/09/04:18:19:05|0h 0m 9s|Load data|1|Load data|0|FAILED|64||
1631083523|1631083591|68000|2021/09/08:12:15:23|2021/09/08:12:16:31|0h 1m 8s|dataGen_base|1|run_query|0|SUCCESS|0||
1631083591|1631083616|25000|2021/09/08:12:16:31|2021/09/08:12:16:56|0h 0m 25s|dataGen_refresh|run_query|0|SUCCESS|0
1631083619|1631083628|9000|2021/09/08:12:16:59|2021/09/08:12:17:08|0h 0m 9s|Load data|1|Load data|0|FAILED|64||
1631092906|1631093027|121000|2021/09/08:14:51:46|2021/09/08:14:53:47|0h 2m 1s|dataGen_base|1|run_query|0|SUCCESS|0||
1631093027|1631093050|23000|2021/09/08:14:53:47|2021/09/08:14:54:10|0h 0m 23s|dataGen_refresh|run_query|0|SUCCESS|0
1631093053|1631093062|9000|2021/09/08:14:54:13|2021/09/08:14:54:22|0h 0m 9s|Load data|1|Load data|0|FAILED|64||
1631096448|1631096618|170000|2021/09/08:15:50:48|2021/09/08:15:53:38|0h 2m 50s|dataGen_base|1|run_query|0|SUCCESS|0||
1631096618|1631096648|30000|2021/09/08:15:53:38|2021/09/08:15:54:08|0h 0m 30s|dataGen_refresh|run_query|0|SUCCESS|0
1631096651|1631096660|9000|2021/09/08:15:54:11|2021/09/08:15:54:20|0h 0m 9s|Load data|1|Load data|0|FAILED|64||
1631097763|1631097807|44000|2021/09/08:16:12:43|2021/09/08:16:13:27|0h 0m 44s|dataGen_base|1|run_query|0|SUCCESS|0||
